seq,alamo,piedmont,oakland,plaza,tiburon
100,piedmont oakland,oakland plaza,plaza tiburon,tiburon alamo,alamo piedmont
101,piedmont plaza,oakland tiburon,plaza alamo,tiburon piedmont,alamo oakland
102,piedmont tiburon,oakland alamo,plaza piedmont,tiburon oakland,alamo plaza
103,piedmont alamo,oakland piedmont,plaza oakland,tiburon plaza,alamo tiburon
104,piedmont tiburon,oakland alamo,plaza piedmont,tiburon oakland,alamo plaza
105,piedmont oakland,oakland plaza,plaza tiburon,tiburon alamo,alamo piedmont
106,piedmont plaza,oakland tiburon,plaza alamo,tiburon piedmont,alamo oakland
107,piedmont tiburon,oakland alamo,plaza piedmont,tiburon oakland,alamo plaza
108,piedmont alamo,oakland piedmont,plaza oakland,tiburon plaza,alamo tiburon
109,piedmont tiburon,oakland alamo,plaza piedmont,tiburon oakland,alamo plaza
